method,min,max,avg,sum,last,integral
organizationmanager.v1.saml.FederationService/ListUserAccounts,0.49774555558513167,5.636238949961678,3.5363354418395914,1761.0950500361164,3.2859965302772585,9444491.133913407
organizationmanager.v1.saml.FederationService/ListServiceProviderCertificates,0,0.008889807617849436,0.0013804525030530195,0.6874653465204037,0.0038940639725698,3680.5644777379734
organizationmanager.v1.saml.FederationService/ListOperations,0.006334370901332409,0.02058289939493792,0.019162709509825182,9.54302933589294,0.017046771742600702,51111.8598822603
organizationmanager.v1.saml.FederationService/List,0.5937534935718276,3.8779116639807762,2.6693887853122478,1329.3556150854995,2.534760437540977,7125472.571044389
organizationmanager.v1.saml.FederationService/GetServiceProviderCertificate,0,0.000001129235338290663,4.705147242877762e-9,0.000001129235338290663,0,0.006060606060605988
organizationmanager.v1.saml.FederationService/Get,0.47626185683266525,2.270098305636043,1.0141899734026816,505.0666067545354,1.1789277229246033,2699157.2174149062
organizationmanager.v1.saml.CertificateService/ListOperations,0.006441567994193502,0.020750318439412635,0.019535633566792707,9.728745516262768,0.017395787497353977,52106.408626653
organizationmanager.v1.saml.CertificateService/List,0.02502070264786865,0.1397736785631178,0.09810212447147981,48.854857986796944,0.09289251401844795,261666.1410190439
organizationmanager.v1.saml.CertificateService/Get,0.012898267188373386,0.04161989502667909,0.03881022457294933,19.32749183732877,0.03521620972091347,103517.08174597358
organizationmanager.v1.region.OrganizationSyncService/GetStatus,0,0.006356955054551478,0.00037373332051207934,0.1861191936150155,0,998.9017121317889
organizationmanager.v1.region.DiscoveryService/ListOrganizationsRegional,0,0.0746598099881495,0.010787479790488328,5.3721649356631875,0.033942841652785896,28763.8908843771
organizationmanager.v1.region.DiscoveryService/ListOrganizationsCrossRegion,0.03198828921821214,2.987182364177009,0.46877162831174424,233.44827089924863,0.9817400728322929,1248912.019360412
organizationmanager.v1.region.DiscoveryService/ListCloudsRegional,0,0.00000182670422370552,2.3122838274753416e-8,0.00000182670422370552,0,0.009803921568627525
organizationmanager.v1.region.DiscoveryService/GetSubjectReference,0,0.0025236527751899456,0.00025885062463783124,0.12890761106963997,0.0006433912849988482,688.2749263885361
organizationmanager.v1.region.DiscoveryService/GetCloudTreeRegional,0,0.0053211894036541375,0.00010082655082564523,0.050009969209520035,0,268.4035047474941
organizationmanager.v1.region.DiscoveryService/GetCloudTreeCrossRegion,0,0.05275306471474237,0.006862755481751019,3.4176522299120076,0.02181969298807159,18283.37244980446
organizationmanager.v1.policy.RefreshTokenPolicyService/List,0,0.0000021173162592950163,6.874403439269533e-9,0.0000021173162592950163,0,0.011363636363636352
organizationmanager.v1.policy.RefreshTokenPolicyService/Get,0,0.01853383879841576,0.0028490269503017524,1.4188154212502726,0.0027288023888832956,7575.806225881551
organizationmanager.v1.oauth.FederationService/List,0,0.6914994927851277,0.11570601656813288,55.42318193613565,0,294528.5724869088
organizationmanager.v1.oauth.FederationService/Get,0,0.13733804264091692,0.009868856857890912,4.914690715229674,0,26131.06012524022
organizationmanager.v1.domain.DomainService/List,0.032498499058029436,0.3246579977052751,0.2553370683718743,127.1578600491934,0.2783482332525793,681431.8639925362
organizationmanager.v1.domain.DomainService/Get,0,0.13294330413636016,0.09744886403502256,48.52953428944124,0.11386976220150097,260137.24333464014
organizationmanager.v1.console.OsLoginService/GetSettings,0.10648872740822875,3.3860655652858,1.328757911548029,661.7214399509185,2.6368600270063514,3536432.120994359
organizationmanager.v1.console.OrganizationService/GetSettings,0.003949547647144891,0.411891083369563,0.09011026189552519,44.87491042397155,0.25526208749225304,239758.729924618
organizationmanager.v1.console.GroupService/ListMembers,0.11532456258138654,1.2736641916310745,0.35584762706168804,177.21211827672064,0.3522443931975722,949499.3526800474
organizationmanager.v1.console.GroupService/List,0.0036260687741964098,0.3914018089755782,0.07952513091795846,39.60351519714331,0.191150535293801,211602.59661862339
organizationmanager.v1.UserSshKeyService/List,0.38823756879933036,10.115499187905352,3.6560103525786105,1820.6931555841481,7.557499196088627,9729277.379554354
organizationmanager.v1.UserSshKeyService/Get,0,0.006357483516878652,0.0001834200315269931,0.09134317570044256,0,465.6433723923324
organizationmanager.v1.UserService/ListMembers,0.9109770614661669,24.826347671291945,4.739694332676833,2360.367777673063,10.808900705129462,12613473.792961014
organizationmanager.v1.SubscriptionService/ListSubscribers,0.003617787715048218,0.39729571662215585,0.08578108646655276,42.718981060343275,0.2456007105898,228247.11750880885
organizationmanager.v1.SshKeyService/List,0,0.05172761735931898,0.022684226628430303,11.29674486095829,0.0003486087803674988,60628.28522431872
organizationmanager.v1.QuotaLimitService/Get,0.0005406131150056453,0.0515451177676213,0.001694617667954648,0.8439195986414147,0.0021859768225426296,4508.891794550451
organizationmanager.v1.OsLoginService/ListProfiles,0.00771304546910349,0.35742293439330863,0.12263637942694705,61.07291695461963,0.27873724989359766,326334.4378393034
organizationmanager.v1.OsLoginService/GetSettings,0.9916409742319862,31.04203959772685,3.1927570638998533,1589.9930178221268,2.5221663921193964,8504382.250189368
organizationmanager.v1.OsLoginService/GetProfile,0,0.00000291130985653065,2.2565456823285284e-8,0.0000035202112644325043,0,0.01889297385620925
organizationmanager.v1.OrganizationService/ListRestrictions,0,0.0000013700281677791246,2.4222520317260476e-8,0.0000034395978850509875,0,0.01846032184906865
organizationmanager.v1.OrganizationService/ListOperations,0,0.008952707845451081,0.0004439502371720622,0.22108721811168697,0.0004830785959342993,1182.6463959017208
organizationmanager.v1.OrganizationService/ListAccessBindings,0.13026565565042744,0.5118879779723824,0.2537772439718191,126.38106749796592,0.23366660394585606,676380.9129299254
organizationmanager.v1.OrganizationService/List,3.561412625201102,43.044045918473024,15.512413768018725,7725.182056473325,27.888232323112568,41295562.82226413
organizationmanager.v1.OrganizationService/GetRestriction,0,0.02312622163134063,0.0013825751940716976,0.6885224466477053,0.002855297071774683,3691.5561439977423
organizationmanager.v1.OrganizationService/GetPermissionStages,0.09519628545785193,3.1155191679278995,0.9794375575263483,487.75990364812145,1.84302588226392,2606822.665771616
organizationmanager.v1.OrganizationService/Get,0.6743051420100155,6.023550950850835,2.259243206111542,1125.103116643548,3.2633567351261408,6022560.93342045
organizationmanager.v1.OperationService/Get,1.0899535225555317,31.97223494345453,5.116445486363102,2547.989852208825,5.912553535034694,13649590.685876207
organizationmanager.v1.InvitationService/ListForOrganization,0.049073556507878875,30.529462864352976,0.5874289156301257,292.5395999838026,0.7466041842022733,1566207.04008256
organizationmanager.v1.InvitationService/GetByCode,0,0.08135697761239012,0.019037342593582914,9.480596611604291,0.04214353205509096,50637.89880317712
organizationmanager.v1.GroupService/ListOperations,0.005651305301948118,0.0210941057766861,0.019076537987196305,9.50011591762376,0.016946566039745283,50881.82768544227
organizationmanager.v1.GroupService/ListMembers,1.0678785714420165,4.114822060741567,3.1598401431081125,1573.60039126784,2.5922958700028,8432245.626835084
organizationmanager.v1.GroupService/ListEffective,0,0.03429725470711236,0.0038772988936203465,1.6129563397460642,0.009717436979566339,8656.736675417127
organizationmanager.v1.GroupService/ListAccessBindings,0.04490560460001268,0.21091230959583135,0.13837152930366964,68.90902159322748,0.121244141985255,369021.50046979904
